,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
102,,2014-08-18 16:04:47,2014-08-15,HBAN,Neumeyer Daniel J.,Sr. EVP of Principal Subsidiar,S - Sale,$9.71,"-5,781","202,298",-3%,"-$56,134",-1,+1,+3,+11
103,,2014-08-18 16:04:45,2014-08-15,HBAN,Anderson David S.,"EVP, Controller",S - Sale,$9.71,"-18,134","132,714",-12%,"-$176,144",-1,+1,+3,+11
104,,2014-08-15 14:44:48,2014-08-14,HBAN,Stanutz Nicholas G,Sr EVP of Principal Sub,S - Sale,$9.67,"-26,000","260,929",-9%,"-$251,470",-1,+2,+4,+12
105,D,2014-08-15 14:44:46,2014-08-14,HBAN,Neumeyer Daniel J.,Sr. EVP of Principal Subsidiar,S - Sale+OE,$9.68,"-26,750","208,079",-11%,"-$258,900",-1,+2,+4,+12
106,,2014-05-07 10:43:15,2014-05-06,HBAN,Neu Richard W,Dir,P - Purchase,$9.04,"+15,100","181,753",+9%,"+$136,441",+1,+4,+6,+10
107,,2014-04-25 10:43:17,2014-04-24,HBAN,Steinour Stephen D,"Pres, CEO, COB",P - Purchase,$9.32,"+10,750","2,631,576",0%,"+$100,217",-2,-3,-2,+1
108,,2014-04-24 13:02:11,2014-04-24,HBAN,Porteous David L,Dir,P - Purchase,$9.40,"+2,760","706,728",0%,"+$25,932",-1,-3,-4,0
109,,2014-03-03 11:46:42,2014-02-28,HBAN,Neumeyer Daniel J.,Sr. EVP of Principal Subsidiar,S - Sale,$9.51,"-40,458","148,486",-21%,"-$384,957",0,+3,+5,+4
110,,2014-03-03 10:09:38,2014-02-28,HBAN,Remiker Richard,Sr. EVP of Principal Sub,P - Purchase,$9.57,"+3,000","37,775",+9%,"+$28,701",0,+3,+5,+4
111,,2014-03-03 09:17:20,2014-02-27,HBAN,Dunlap James E,Regional Banking Group Pres,P - Purchase,$9.40,"+1,000","260,113",0%,"+$9,397",0,+3,+5,+4
