,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
203,,2012-05-22 15:26:44,2012-05-18,AFL,Kirsch Eric M,SVP,P - Purchase,$39.41,"+1,875","1,875",New,"+$73,899",+1,+1,+7,+30
204,M,2012-03-16 16:29:15,2012-03-14,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale,$46.64,"-25,000","352,018",-7%,"-$1,166,121",+1,-3,-9,+7
205,,2012-03-12 11:25:13,2012-03-08,AFL,Cloninger Kriss III,"Pres Aflac Incorporated, CFO",S - Sale,$45.25,"-1,000","377,018",0%,"-$45,250",-1,+4,-7,+9
206,,2011-12-05 14:03:45,2011-12-01,AFL,Loudermilk Joey M,"EVP, Corporate Secretary",S - Sale,$43.16,"-35,000","215,174",-14%,"-$1,510,467",+2,0,+2,-10
207,,2011-09-27 13:27:46,2011-09-26,AFL,Thompson David Gary,Dir,P - Purchase,$31.50,"+5,000","18,525",+37%,"+$157,500",+6,+3,+28,+45
208,,2011-09-21 10:34:40,2011-09-20,AFL,Purdom E Stephen,Dir,P - Purchase,$35.20,"+10,000","236,363",+4%,"+$352,000",-5,-2,+17,+35
209,D,2011-05-09 11:10:56,2011-05-05,AFL,Wright Robert L,Dir,S - Sale+OE,$55.17,"-10,000","44,895",-18%,"-$551,746",-1,-2,-17,-16
210,,2011-05-03 11:31:11,2011-04-29,AFL,Giddens Thomas R,SVP,S - Sale,$56.12,"-8,000","7,584",-51%,"-$448,991",0,-3,-16,-16
211,DM,2011-02-17 18:28:18,2011-02-15,AFL,Blanck Susan Rynearson,EVP,S - Sale+OE,$57.38,"-36,139","25,657",-58%,"-$2,073,799",0,-4,-15,-37
212,,2010-12-29 16:24:27,2010-12-22,AFL,Arai Yuji,SVP Aflac Japan,S - Sale,$57.00,"-2,300","11,373",-17%,"-$131,100",-1,0,+3,-19
213,,2010-12-28 17:29:31,2010-12-24,AFL,Lake Charles D II,COB Aflac Japan,S - Sale,$55.83,"-3,750","7,577",-33%,"-$209,363",0,+1,+3,-20
214,D,2010-12-28 15:18:32,2010-12-23,AFL,Wilkey Robin Y,SVP,S - Sale+OE,$56.99,"-11,747","4,557",-72%,"-$669,465",0,+1,+2,-20
215,,2010-12-23 14:27:20,2010-12-22,AFL,Lake Charles D II,COB Aflac Japan,S - Sale,$57.00,"-26,728","11,327",-70%,"-$1,523,496",0,-2,+2,-20
216,D,2010-12-21 11:12:13,2010-12-17,AFL,Blanck Susan Rynearson,SVP,S - Sale+OE,$56.10,"-7,594","17,038",-31%,"-$426,023",+1,+1,+2,-17
217,,2010-12-20 14:37:11,2010-12-16,AFL,Amos Daniel P,"COB, CEO",S - Sale,$55.20,"-15,000","4,355,567",0%,"-$828,005",+1,+3,+2,-18
218,D,2010-12-20 13:55:51,2010-12-17,AFL,Yamauchi Hiroshi,First SVP - Aflac Japan,S - Sale+OE,$56.00,"-30,000","55,424",-35%,"-$1,680,000",+1,+3,+2,-18
219,D,2010-12-10 15:37:57,2010-12-09,AFL,Tillman Audrey B,EVP,S - Sale+OE,$55.17,"-10,000","12,967",-44%,"-$551,735",+1,-1,-1,-18
220,D,2010-11-08 16:57:34,2010-11-05,AFL,Jeffery William Jeremy,SVP,S - Sale+OE,$57.67,"-13,152","9,672",-58%,"-$758,539",-1,-4,-5,-3
221,D,2010-11-08 12:40:18,2010-11-04,AFL,Janke Kenneth S Jr,"EVP, Deputy CFO",S - Sale+OE,$57.48,"-28,500","89,904",-24%,"-$1,638,169",-1,-5,-6,-4
222,D,2010-11-08 12:22:15,2010-11-04,AFL,Johnson Robert B,Dir,S - Sale+OE,$57.69,"-10,000","4,831",-67%,"-$576,870",-1,-5,-6,-4
